Status,Date,Description,Debit,Credit,Member Name
Cleared,03/15/2026,"COSTCO WHSE #0474 GOLETA CA",89.43,,TEST USER
Cleared,03/14/2026,"STARBUCKS #12345 SANTA BARBARA CA",7.25,,TEST USER
Cleared,03/14/2026,"JACK IN THE BOX #0159 SANTA BARBARA CA",9.87,,TEST USER
Cleared,03/13/2026,"ARCO #42448 GOLETA CA",62.00,,TEST USER
Cleared,03/13/2026,"SPOTIFY 877-778-1161 NY",16.99,,TEST USER
Cleared,03/12/2026,"AMAZON MKTPL*XY12Z AMZN.COM/BILL WA",34.99,,TEST USER
Cleared,03/12/2026,"ALBERTSONS #0354 GOLETA CA",27.11,,TEST USER
Cleared,03/11/2026,"LYFT *RIDE MON 7PM LYFT.COM CA",18.50,,TEST USER
Cleared,03/10/2026,"NETFLIX.COM LOS GATOS CA",15.49,,TEST USER
Cleared,03/10/2026,"ONLINE PAYMENT, THANK YOU",,750.00,TEST USER
Pending,03/09/2026,"TST* LOCAL CAFE SANTA BARBARA CA",14.30,,TEST USER
Pending,03/08/2026,"SPROUTS FARMERS MKT GOLETA CA",41.75,,TEST USER
